CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
6565873,2,1,4,F,22,4,1,P,V,1,"SAN FRANCISCO","SAN FRANCISCO",2014
7029225,1,1,4,M,46,3,1,P,V,1,"SAN FRANCISCO","SAN FRANCISCO",2015
7029225,2,1,4,F,34,4,1,P,W,0,"SAN FRANCISCO","SAN FRANCISCO",2015
7052325,2,1,4,M,26,3,1,P,W,1,"SAN FRANCISCO","SAN FRANCISCO",2015
8184142,2,1,4,F,29,2,1,P,B,1,"SAN FRANCISCO","SAN FRANCISCO",2016
7157838,2,1,4,M,29,4,1,P,W,3,"SAN FRANCISCO","SAN FRANCISCO",2015
8754734,2,1,4,M,33,2,9,-,-,0,"SAN FRANCISCO","SAN FRANCISCO",2018
9362538,2,1,4,M,43,6,2,P,-,1,"SAN FRANCISCO","SAN FRANCISCO",2021
9194285,2,1,4,F,47,4,1,P,-,1,"SAN FRANCISCO","SAN FRANCISCO",2020
7050678,2,1,4,M,27,4,9,M,X,2,"SAN FRANCISCO","SAN FRANCISCO",2015
9469542,2,1,4,M,88,4,1,P,W,0,"SAN FRANCISCO","SAN FRANCISCO",2023
9481909,2,1,4,M,28,3,1,P,-,0,"SAN FRANCISCO","SAN FRANCISCO",2022
9505979,1,1,4,F,28,3,-,P,W,0,"SAN FRANCISCO","SAN FRANCISCO",2022
9610656,1,1,4,M,67,4,1,P,V,-,"SAN FRANCISCO","SAN FRANCISCO",2023
6557088,1,1,2,M,20,0,1,-,D,3,"SAN FRANCISCO","SAN FRANCISCO",2014
6557088,2,1,4,M,45,4,1,-,V,3,"SAN FRANCISCO","SAN FRANCISCO",2014
9626269,2,1,4,F,33,3,1,P,V,0,"SAN FRANCISCO","SAN FRANCISCO",2023
8758356,1,1,4,M,33,3,1,P,A,3,"SAN FRANCISCO","SAN FRANCISCO",2018
6565869,1,1,4,M,40,4,1,-,V,0,"SAN FRANCISCO","SAN FRANCISCO",2014
6565869,2,1,2,F,25,0,3,M,G,0,"SAN FRANCISCO","SAN FRANCISCO",2014
8205670,1,1,4,M,51,4,1,-,-,0,"SAN FRANCISCO","SAN FRANCISCO",2016
8360052,2,1,4,M,68,3,1,-,-,3,"SAN FRANCISCO","SAN FRANCISCO",2017
9365784,2,1,4,F,29,4,1,P,W,2,"SAN FRANCISCO","SAN FRANCISCO",2021
9375877,2,1,4,M,52,6,1,P,-,0,"SAN FRANCISCO","SAN FRANCISCO",2021
9503245,2,1,2,-,998,4,3,M,G,0,"SAN FRANCISCO","SAN FRANCISCO",2022
9503245,3,1,4,F,29,4,1,P,A,1,"SAN FRANCISCO","SAN FRANCISCO",2022
8540104,2,1,4,M,40,3,1,P,W,1,"SAN FRANCISCO","SAN FRANCISCO",2017
8619268,1,1,4,M,32,3,1,P,W,2,"SAN FRANCISCO","SAN FRANCISCO",2018
8936882,2,1,4,M,29,3,1,P,A,0,"SAN FRANCISCO","SAN FRANCISCO",2019
6938279,1,1,4,M,38,4,1,P,V,0,"SAN FRANCISCO","SAN FRANCISCO",2015
7014912,1,1,4,M,36,3,1,N,V,1,"SAN FRANCISCO","SAN FRANCISCO",2014
7006997,2,1,4,M,29,3,1,P,A,3,"SAN FRANCISCO","SAN FRANCISCO",2014
7025387,2,1,1,M,36,4,1,P,W,0,"SAN FRANCISCO","SAN FRANCISCO",2015
7035601,2,1,4,M,35,4,1,P,W,3,"SAN FRANCISCO","SAN FRANCISCO",2015
7110950,2,1,4,M,50,4,1,P,-,2,"SAN FRANCISCO","SAN FRANCISCO",2015
7202035,2,1,4,F,32,4,1,P,W,2,"SAN FRANCISCO","SAN FRANCISCO",2016
6547568,1,1,4,M,18,4,1,P,V,1,"SAN FRANCISCO","SAN FRANCISCO",2014
9503118,2,1,4,-,30,3,-,P,W,1,"SAN FRANCISCO","SAN FRANCISCO",2022
6555273,1,1,4,M,37,4,1,P,V,3,"SAN FRANCISCO","SAN FRANCISCO",2014
6563706,1,1,4,M,34,2,1,P,-,1,"SAN FRANCISCO","SAN FRANCISCO",2014
7014898,2,1,4,F,34,4,1,N,P,1,"SAN FRANCISCO","SAN FRANCISCO",2014
6565368,1,1,4,M,59,2,1,P,W,1,"SAN FRANCISCO","SAN FRANCISCO",2014
8539785,2,1,4,M,37,4,1,P,W,1,"SAN FRANCISCO","SAN FRANCISCO",2017
6854093,1,1,4,M,51,1,1,V,-,0,"SAN FRANCISCO","SAN FRANCISCO",2014
7025408,2,1,4,M,23,3,1,V,-,1,"SAN FRANCISCO","SAN FRANCISCO",2015
8777434,2,1,4,F,51,3,1,P,A,1,"SAN FRANCISCO","SAN FRANCISCO",2018
9252807,1,1,4,M,34,3,1,P,-,2,"SAN FRANCISCO","SAN FRANCISCO",2021
6937776,2,1,3,F,63,2,0,P,-,0,"SAN FRANCISCO","SAN FRANCISCO",2014
7029215,2,1,4,M,30,3,1,P,A,1,"SAN FRANCISCO","SAN FRANCISCO",2015
9396461,1,1,4,M,53,4,1,P,W,0,"SAN FRANCISCO","SAN FRANCISCO",2022
7034731,1,1,2,F,24,0,3,M,B,0,"SAN FRANCISCO","SAN FRANCISCO",2015
7034731,2,1,4,M,42,4,1,-,-,1,"SAN FRANCISCO","SAN FRANCISCO",2015
7034742,1,1,4,M,50,4,1,P,V,3,"SAN FRANCISCO","SAN FRANCISCO",2015
7034742,2,1,2,F,998,0,3,M,G,0,"SAN FRANCISCO","SAN FRANCISCO",2015
7101768,2,1,4,M,51,4,1,P,W,3,"SAN FRANCISCO","SAN FRANCISCO",2015
7008134,2,1,4,M,37,2,1,P,W,2,"SAN FRANCISCO","SAN FRANCISCO",2014
7035326,1,1,4,M,34,4,1,P,W,0,"SAN FRANCISCO","SAN FRANCISCO",2014
7010028,1,1,2,M,998,0,3,M,G,0,"SAN FRANCISCO","SAN FRANCISCO",2014
7010028,2,1,4,M,31,3,0,P,W,1,"SAN FRANCISCO","SAN FRANCISCO",2014
7014879,2,1,4,M,24,2,1,P,W,3,"SAN FRANCISCO","SAN FRANCISCO",2014
7014888,1,1,4,M,30,4,1,P,W,1,"SAN FRANCISCO","SAN FRANCISCO",2014
7014889,2,1,4,M,31,2,2,P,V,2,"SAN FRANCISCO","SAN FRANCISCO",2014
7015163,1,1,4,M,24,2,9,-,W,2,"SAN FRANCISCO","SAN FRANCISCO",2014
7025487,2,1,4,F,27,3,1,P,W,1,"SAN FRANCISCO","SAN FRANCISCO",2015
7027589,1,1,4,M,56,2,1,P,-,1,"SAN FRANCISCO","SAN FRANCISCO",2015
6970945,2,1,4,M,58,3,1,P,W,3,"SAN FRANCISCO","SAN FRANCISCO",2014
6997232,1,1,4,M,28,3,1,P,W,0,"SAN FRANCISCO","SAN FRANCISCO",2014
6997362,2,1,4,M,43,4,9,-,W,3,"SAN FRANCISCO","SAN FRANCISCO",2014
6997383,2,1,4,M,32,4,1,P,-,0,"SAN FRANCISCO","SAN FRANCISCO",2014
6997409,2,1,4,-,58,3,1,P,A,1,"SAN FRANCISCO","SAN FRANCISCO",2014
6997448,2,1,4,M,38,4,1,P,W,3,"SAN FRANCISCO","SAN FRANCISCO",2014
7004057,1,1,4,F,38,3,1,P,V,0,"SAN FRANCISCO","SAN FRANCISCO",2014
7006832,1,1,4,M,29,4,1,P,-,0,"SAN FRANCISCO","SAN FRANCISCO",2014
7008061,2,1,3,F,50,3,9,-,-,3,"SAN FRANCISCO","SAN FRANCISCO",2014
7008073,1,1,4,M,18,3,0,P,V,2,"SAN FRANCISCO","SAN FRANCISCO",2014
7100297,2,1,4,M,55,3,9,-,-,1,"SAN FRANCISCO","SAN FRANCISCO",2015
7008110,2,1,4,M,26,4,9,-,W,3,"SAN FRANCISCO","SAN FRANCISCO",2014
7014947,2,1,4,M,30,3,1,P,A,1,"SAN FRANCISCO","SAN FRANCISCO",2014
7025092,1,1,4,M,28,4,1,-,W,1,"SAN FRANCISCO","SAN FRANCISCO",2015
7034863,1,1,4,M,52,2,1,P,W,1,"SAN FRANCISCO","SAN FRANCISCO",2015
7034863,2,1,2,M,51,0,3,M,G,0,"SAN FRANCISCO","SAN FRANCISCO",2015
7035719,2,1,4,F,31,4,1,P,A,3,"SAN FRANCISCO","SAN FRANCISCO",2014
7035928,2,1,2,M,2,3,2,P,A,0,"SAN FRANCISCO","SAN FRANCISCO",2014
7037673,2,1,4,M,26,2,0,P,W,0,"SAN FRANCISCO","SAN FRANCISCO",2014
7038562,2,1,4,M,31,4,1,-,-,3,"SAN FRANCISCO","SAN FRANCISCO",2015
7101040,1,1,4,F,25,3,1,P,W,1,"SAN FRANCISCO","SAN FRANCISCO",2014
7038650,2,1,4,F,31,3,1,M,W,0,"SAN FRANCISCO","SAN FRANCISCO",2015
7025576,1,1,4,F,27,3,1,P,W,0,"SAN FRANCISCO","SAN FRANCISCO",2015
7110794,2,1,4,M,31,4,1,P,V,0,"SAN FRANCISCO","SAN FRANCISCO",2015
7034541,1,1,4,F,57,4,1,P,W,0,"SAN FRANCISCO","SAN FRANCISCO",2015
7034541,2,1,2,M,1,0,6,M,Q,0,"SAN FRANCISCO","SAN FRANCISCO",2015
7101125,1,1,2,F,23,0,2,M,B,0,"SAN FRANCISCO","SAN FRANCISCO",2015
7101125,2,1,4,M,60,3,9,P,W,1,"SAN FRANCISCO","SAN FRANCISCO",2015
7035161,1,1,4,F,35,4,1,V,-,0,"SAN FRANCISCO","SAN FRANCISCO",2014
7052200,1,1,4,M,31,4,1,P,V,2,"SAN FRANCISCO","SAN FRANCISCO",2015
7052216,2,1,4,F,36,4,1,-,W,3,"SAN FRANCISCO","SAN FRANCISCO",2015
7052251,1,1,4,M,44,4,9,-,-,3,"SAN FRANCISCO","SAN FRANCISCO",2015
7100044,1,1,4,M,24,3,1,P,A,1,"SAN FRANCISCO","SAN FRANCISCO",2015
7173606,1,1,4,M,34,4,1,-,-,3,"SAN FRANCISCO","SAN FRANCISCO",2016
7100047,2,1,4,F,35,4,1,P,W,1,"SAN FRANCISCO","SAN FRANCISCO",2015
7100862,2,1,4,M,45,3,1,-,-,1,"SAN FRANCISCO","SAN FRANCISCO",2014
7101144,1,1,4,M,28,4,9,N,V,3,"SAN FRANCISCO","SAN FRANCISCO",2015
7101144,1,2,2,F,24,0,2,N,C,0,"SAN FRANCISCO","SAN FRANCISCO",2015
7101157,1,1,2,M,39,0,2,L,C,0,"SAN FRANCISCO","SAN FRANCISCO",2015
7101157,2,1,4,M,23,4,1,L,A,0,"SAN FRANCISCO","SAN FRANCISCO",2015
7036497,2,1,4,M,20,4,1,P,V,0,"SAN FRANCISCO","SAN FRANCISCO",2014
7037395,1,1,4,M,29,3,1,-,-,3,"SAN FRANCISCO","SAN FRANCISCO",2015
7037395,2,1,1,M,46,3,1,M,G,3,"SAN FRANCISCO","SAN FRANCISCO",2015
8042445,2,1,4,M,34,3,1,-,W,1,"SAN FRANCISCO","SAN FRANCISCO",2016
8046720,2,1,4,M,42,3,1,N,V,0,"SAN FRANCISCO","SAN FRANCISCO",2016
7101209,2,1,4,M,54,3,1,P,A,0,"SAN FRANCISCO","SAN FRANCISCO",2015
7101018,2,1,4,F,25,4,0,-,A,3,"SAN FRANCISCO","SAN FRANCISCO",2014
7101313,1,1,2,M,31,0,4,M,G,0,"SAN FRANCISCO","SAN FRANCISCO",2015
7101313,2,1,4,M,46,3,0,P,-,0,"SAN FRANCISCO","SAN FRANCISCO",2015
7101652,1,1,2,F,998,0,4,M,B,0,"SAN FRANCISCO","SAN FRANCISCO",2015
7101652,2,1,4,M,26,4,1,P,W,1,"SAN FRANCISCO","SAN FRANCISCO",2015
7101683,1,1,3,F,25,3,1,P,-,0,"SAN FRANCISCO","SAN FRANCISCO",2015
7038670,1,1,4,M,19,4,1,-,-,3,"SAN FRANCISCO","SAN FRANCISCO",2015
7038677,2,1,4,F,27,3,1,P,W,2,"SAN FRANCISCO","SAN FRANCISCO",2015
7038689,2,1,4,M,26,4,1,M,A,0,"SAN FRANCISCO","SAN FRANCISCO",2015
7059704,1,1,4,F,33,4,1,M,W,3,"SAN FRANCISCO","SAN FRANCISCO",2015
7066591,1,1,2,F,33,0,2,M,G,0,"SAN FRANCISCO","SAN FRANCISCO",2015
7066591,2,1,4,M,24,4,1,-,V,3,"SAN FRANCISCO","SAN FRANCISCO",2015
7100912,1,1,4,F,33,3,1,P,V,1,"SAN FRANCISCO","SAN FRANCISCO",2014
8046736,2,1,4,F,23,4,1,P,W,0,"SAN FRANCISCO","SAN FRANCISCO",2016
8046743,1,1,4,M,22,4,1,P,-,1,"SAN FRANCISCO","SAN FRANCISCO",2016
8137345,1,1,4,M,29,4,1,P,W,0,"SAN FRANCISCO","SAN FRANCISCO",2016
8137495,2,1,4,M,50,4,1,M,W,0,"SAN FRANCISCO","SAN FRANCISCO",2016
8046752,1,1,2,M,40,0,6,M,B,0,"SAN FRANCISCO","SAN FRANCISCO",2016
8046752,2,1,4,M,28,3,1,N,W,0,"SAN FRANCISCO","SAN FRANCISCO",2016
7157806,2,1,3,F,78,3,9,P,-,0,"SAN FRANCISCO","SAN FRANCISCO",2015
7157806,3,1,3,F,57,4,9,P,-,3,"SAN FRANCISCO","SAN FRANCISCO",2015
7157808,2,1,4,F,31,4,1,P,W,0,"SAN FRANCISCO","SAN FRANCISCO",2015
7157819,1,1,2,F,42,0,2,M,G,0,"SAN FRANCISCO","SAN FRANCISCO",2015
7157819,2,1,4,M,31,3,1,P,V,0,"SAN FRANCISCO","SAN FRANCISCO",2015
7161139,1,1,4,-,52,4,0,P,A,0,"SAN FRANCISCO","SAN FRANCISCO",2014
7161152,1,1,4,M,33,2,0,P,V,3,"SAN FRANCISCO","SAN FRANCISCO",2014
7161152,2,1,2,-,55,0,3,M,G,0,"SAN FRANCISCO","SAN FRANCISCO",2014
7161152,2,2,2,F,51,0,6,M,G,0,"SAN FRANCISCO","SAN FRANCISCO",2014
7173532,2,1,4,M,18,4,9,-,W,1,"SAN FRANCISCO","SAN FRANCISCO",2016
7173583,1,1,4,M,23,3,1,P,V,0,"SAN FRANCISCO","SAN FRANCISCO",2016
7202075,1,1,4,M,47,4,1,-,-,1,"SAN FRANCISCO","SAN FRANCISCO",2016
8201146,2,1,4,F,36,3,1,M,G,2,"SAN FRANCISCO","SAN FRANCISCO",2017
